Title,Published_date,Likes,Views
"How I Gave Away $1,000,000",2018-12-25,490062,14549943
"Giving $100,000 To A Homeless Person",2018-12-23,1026967,31516458
I Spent 24 Hours Straight In Prison - Challenge,2018-12-19,2115146,118798296
Donating $10000 To Pewdiepie,2018-12-16,1733232,47349140
"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12,2163335,105639554
I Put Millions Of Pennies In My Friends Backyard,2018-12-08,2831375,184728508
Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07,1895442,102843884
I Built A Giant House Using Only Legos,2018-12-02,1040627,65106953
"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30,2395551,147279485
"Saying Pewdiepie 100,000 Times",2018-11-25,1693949,26555898
Destroyed Friend's House And Bought Him A New One,2018-11-24,1132908,43814461
I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22,5301585,238778365
"Spending $40,000 In One Hour Challenge",2018-11-17,933940,44807060
"Giving My 10,000,000th Subscriber 10,000,000 ___",2018-11-13,816687,29816011
"$10,000 Games Of Rock Paper Scissors",2018-11-04,513909,18608104
"Last To Remove Hand, Gets Lamborghini Challenge",2018-11-02,1709392,96080458
"You Pick The Right Cup, You Win $100,000!",2018-10-28,977320,36274241
I Bought Every Billboard In My City For This,2018-10-26,1319465,38797834
"Ordering Water Then Tipping $30,000",2018-10-23,1195796,45236252
"I Spent $50,000 On Lottery Tickets And Won ____",2018-10-19,748057,31345409
"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12,1667078,97339419
I Spent 24 Hours Straight In Slime,2018-10-09,939866,43873200
"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04,1536642,74731019
"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28,426686,17336984
Flat Earth PROVEN By Independent Research,2018-09-22,795981,28598267
Things That SHOULDN'T Be Sold On Amazon,2018-09-21,2312003,152177996
"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19,585291,37312992
"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14,1315493,65254361
I Hope This Magic Trick Works,2018-09-11,721158,43634442
Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06,1144179,69941616
Rocket League In Real Life!,2018-09-01,543872,28783945
Destroying My Friend's Car And Surprising Him With A New One - Slime,2018-08-28,2488844,120621102
Spending 24 Hours Straight Under Water Challenge,2018-08-24,3576461,144826749
"Attempting The Impossible Maze - $10,000 Challenge",2018-08-15,1014243,57029839
"Donating $100,000 To A Random Fortnite Streamer",2018-08-05,1111798,53235667
Moving 10 Pounds Using ONLY Sound,2018-08-02,1214017,45718825
Returning Destroyed Rental Cars Prank,2018-07-27,620813,37252662
